Unnamed: 0,concept_1,concept_2,colexification_count,age_acquisition_diff,assoc,Word2Vec_similarity
449,BITE,BLOOD,1,39.0,1.0,0.26849040389060974
450,BITE,BOAST,1,164.0,0.0,0.3212924301624298
451,BITE,BOX,1,22.0,0.0,0.3377121686935425
452,BITE,BURN,2,3.0,0.0,0.3006972074508667
454,BITE,CALL,2,11.0,0.0,0.3570708930492401
455,BITE,CHOP,2,103.0,0.0,0.1472977101802826
458,BITE,COLD,1,31.0,0.0,0.34580039978027344
459,BITE,COVER,1,75.0,0.0,0.29978230595588684
460,BITE,DOG,2,45.0,19.0,0.3503689765930176
461,BITE,DRINK,8,3.0,0.0,0.3695199489593506
462,BITE,EDGE,1,94.0,0.0,0.21966660022735596
463,BITE,EMBRACE,1,278.0,0.0,0.3843015134334564
465,BITE,FIGHT,3,47.0,0.0,0.4200744032859802
466,BITE,FINISH,2,86.0,0.0,0.32784169912338257
467,BITE,FOREST,1,83.0,0.0,0.2936733365058899
468,BITE,FORK,1,11.0,0.0,0.3442836105823517
469,BITE,FROG,1,44.0,0.0,0.3388523757457733
470,BITE,FRUIT,2,5.0,0.0,0.40910154581069946
472,BITE,HARVEST,1,108.0,0.0,0.3352019786834717
473,BITE,HEART,3,67.0,0.0,0.3465932309627533
475,BITE,HOLD,2,53.0,0.0,0.2623966336250305
477,BITE,ICE,1,47.0,0.0,0.11954448372125626
478,BITE,INCREASE,1,205.0,0.0,0.3621329665184021
479,BITE,JAW,1,147.0,3.0,0.23797069489955902
480,BITE,JUMP,1,8.0,0.0,0.3508720099925995
481,BITE,KICK,1,14.0,0.0,0.3910309672355652
482,BITE,LOOK,1,11.0,0.0,0.3138502240180969
483,BITE,MEDICINE,1,97.0,0.0,0.3933032155036926
485,BITE,PILLOW,1,3.0,0.0,0.42473071813583374
486,BITE,POUND,1,94.0,0.0,0.2824643850326538
488,BITE,REFUSE,1,180.0,0.0,0.22674866020679474
489,BITE,REPAIR,1,161.0,0.0,0.35847416520118713
490,BITE,SCRATCH,2,55.0,1.0,0.1929744929075241
491,BITE,SHIVER,1,94.0,0.0,0.33187273144721985
492,BITE,SHOP,1,22.0,0.0,0.40540656447410583
493,BITE,SLAVE,2,172.0,0.0,0.32631829380989075
494,BITE,SPLIT,2,167.0,0.0,0.3406279683113098
495,BITE,STING,8,47.0,2.0,0.3114940822124481
496,BITE,STOVE,1,83.0,0.0,0.4228227734565735
497,BITE,STRAIN,1,208.0,0.0,0.3965824544429779
498,BITE,SUN,2,33.0,0.0,0.2769143879413605
499,BITE,SWEEP,1,67.0,0.0,0.38615065813064575
